尺寸代號,上胸圍1,上胸圍2,下胸圍1,下胸圍2,對應尺寸請使用.號隔開,對應尺寸群組,內衣對應
F38C,90.67,93.25,77.5,82.49,C38,下圍偏緊.罩杯正常,養脂內衣
F38D,93.26,95.84,77.5,82.49,D38,下圍偏緊.罩杯正常,養脂內衣
F38E,95.85,98.43,77.5,82.49,E38,下圍偏緊.罩杯正常,養脂內衣
F38F,98.44,101.02,77.5,82.49,F38,下圍偏緊.罩杯正常,塑瘦內衣
F38G,101.03,103.61,77.5,82.49,G38,下圍偏緊.罩杯正常,塑瘦內衣
F38H,103.62,106.2,77.5,82.49,H38,下圍偏緊.罩杯正常,塑瘦內衣
F38I,106.21,108.79,77.5,82.49,I38,下圍偏緊.罩杯正常,塑瘦內衣
F40A,90.49,93.07,82.5,87.49,A40,下圍偏緊.罩杯正常,養脂內衣
F40B,93.08,95.66,82.5,87.49,B40,下圍偏緊.罩杯正常,養脂內衣
F40C,95.67,98.25,82.5,87.49,C40,下圍偏緊.罩杯正常,養脂內衣
F40D,98.26,100.84,82.5,87.49,D40,下圍偏緊.罩杯正常,養脂內衣
F40E,100.85,103.43,82.5,87.49,E40,下圍偏緊.罩杯正常,養脂內衣
F40F,103.44,106.02,82.5,87.49,F40,下圍偏緊.罩杯正常,塑瘦內衣
F40G,106.03,108.61,82.5,87.49,G40,下圍偏緊.罩杯正常,塑瘦內衣
F40H,108.62,111.2,82.5,87.49,H40,下圍偏緊.罩杯正常,塑瘦內衣
F40I,111.21,113.79,82.5,87.49,I40,下圍偏緊.罩杯正常,塑瘦內衣
F42B,97.99,100.57,87.5,92.49,B42,下圍偏緊.罩杯正常,養脂內衣
F42C,100.58,103.16,87.5,92.49,C42,下圍偏緊.罩杯正常,養脂內衣
F42D,103.17,105.75,87.5,92.49,D42,下圍偏緊.罩杯正常,養脂內衣
F42E,105.76,108.34,87.5,92.49,E42,下圍偏緊.罩杯正常,養脂內衣
F42F,108.35,110.93,87.5,92.49,F42,下圍偏緊.罩杯正常,塑瘦內衣
F42G,110.94,113.52,87.5,92.49,G42,下圍偏緊.罩杯正常,塑瘦內衣
F42H,113.53,116.11,87.5,92.49,H42,下圍偏緊.罩杯正常,塑瘦內衣
F42I,116.12,118.7,87.5,92.49,I42,下圍偏緊.罩杯正常,塑瘦內衣
F44C,105.49,108.07,92.5,97.49,C44,下圍偏緊.罩杯正常,養脂內衣
F44D,108.08,110.66,92.5,97.49,D44,下圍偏緊.罩杯正常,養脂內衣
F44E,110.67,113.25,92.5,97.49,E44,下圍偏緊.罩杯正常,養脂內衣
F44F,113.26,115.84,92.5,97.49,F44,下圍偏緊.罩杯正常,塑瘦內衣
F44G,115.85,118.43,92.5,97.49,G44,下圍偏緊.罩杯正常,塑瘦內衣
F44H,118.44,121.02,92.5,97.49,H44,下圍偏緊.罩杯正常,塑瘦內衣
F44I,121.03,123.61,92.5,97.49,I44,下圍偏緊.罩杯正常,塑瘦內衣
F46C,110.49,113.07,97.5,102.49,C46,下圍偏緊.罩杯正常,養脂內衣
F46D,113.08,115.66,97.5,102.49,D46,下圍偏緊.罩杯正常,養脂內衣
F46E,115.67,118.25,97.5,102.49,E46,下圍偏緊.罩杯正常,養脂內衣
F46F,118.26,120.84,97.5,102.49,F46,下圍偏緊.罩杯正常,塑瘦內衣
F46G,120.85,123.43,97.5,102.49,G46,下圍偏緊.罩杯正常,塑瘦內衣
F46H,123.44,126.02,97.5,102.49,H46,下圍偏緊.罩杯正常,塑瘦內衣
F46I,126.03,128.61,97.5,102.49,I46,下圍偏緊.罩杯正常,塑瘦內衣
F48E,120.49,123.07,102.5,107.49,E48,下圍偏緊.罩杯正常,養脂內衣
F48F,123.08,125.66,102.5,107.49,F48,下圍偏緊.罩杯正常,塑瘦內衣
F48G,125.67,128.25,102.5,107.49,G48,下圍偏緊.罩杯正常,塑瘦內衣
F48H,128.26,130.84,102.5,107.49,H48,下圍偏緊.罩杯正常,塑瘦內衣
F48I,130.85,133.43,102.5,107.49,I48,下圍偏緊.罩杯正常,塑瘦內衣
E30A,72.99,75.57,67.5,72.49,A30,下圍偏鬆、罩杯偏大 .全罩杯,養脂內衣
E30B,75.58,78.16,67.5,72.49,B30,下圍偏鬆、罩杯偏大 .全罩杯,養脂內衣
E30C,78.17,80.75,67.5,72.49,C30,下圍偏鬆、罩杯偏大 .全罩杯,養脂內衣
E30D,80.76,83.34,67.5,72.49,D30,下圍偏鬆、罩杯偏大 .全罩杯,養脂內衣
E30E,83.35,85.93,67.5,72.49,E30,下圍偏鬆、罩杯偏大 .全罩杯,養脂內衣
E30F,85.94,88.52,67.5,72.49,F30,下圍偏鬆、罩杯偏大 .全罩杯,塑瘦內衣
E30G,88.53,91.11,67.5,72.49,G30,下圍偏鬆、罩杯偏大 .全罩杯,塑瘦內衣
E30H,91.12,93.7,67.5,72.49,H30,下圍偏鬆、罩杯偏大 .全罩杯,塑瘦內衣
E30I,93.71,96.29,67.5,72.49,I30,下圍偏鬆、罩杯偏大 .全罩杯,塑瘦內衣
E32A,77.99,80.57,72.5,77.49,A32,下圍偏鬆、罩杯偏大 .全罩杯,養脂內衣
E32B,80.58,83.16,72.5,77.49,B32,下圍偏鬆、罩杯偏大 .全罩杯,養脂內衣
E32C,83.17,85.75,72.5,77.49,C32,下圍偏鬆、罩杯偏大 .全罩杯,養脂內衣
E32D,85.76,88.34,72.5,77.49,D32,下圍偏鬆、罩杯偏大 .全罩杯,養脂內衣
E32E,88.35,90.93,72.5,77.49,E32,下圍偏鬆、罩杯偏大 .全罩杯,養脂內衣
E32F,90.94,93.52,72.5,77.49,F32,下圍偏鬆、罩杯偏大 .全罩杯,塑瘦內衣
E32G,93.53,96.11,72.5,77.49,G32,下圍偏鬆、罩杯偏大 .全罩杯,塑瘦內衣
E32H,96.12,98.7,72.5,77.49,H32,下圍偏鬆、罩杯偏大 .全罩杯,塑瘦內衣
E32I,98.71,101.29,72.5,77.49,I32,下圍偏鬆、罩杯偏大 .全罩杯,塑瘦內衣
E34A,82.99,85.57,77.5,82.49,A34,下圍偏鬆、罩杯偏大 .全罩杯,養脂內衣
E34B,85.58,88.16,77.5,82.49,B34,下圍偏鬆、罩杯偏大 .全罩杯,養脂內衣
E34C,88.17,90.75,77.5,82.49,C34,下圍偏鬆、罩杯偏大 .全罩杯,養脂內衣
E34D,90.76,93.34,77.5,82.49,D34,下圍偏鬆、罩杯偏大 .全罩杯,養脂內衣
E34E,93.35,95.93,77.5,82.49,E34,下圍偏鬆、罩杯偏大 .全罩杯,養脂內衣
E34F,95.94,98.52,77.5,82.49,F34,下圍偏鬆、罩杯偏大 .全罩杯,塑瘦內衣
E34G,98.53,101.11,77.5,82.49,G34,下圍偏鬆、罩杯偏大 .全罩杯,塑瘦內衣
E34H,101.12,103.7,77.5,82.49,H34,下圍偏鬆、罩杯偏大 .全罩杯,塑瘦內衣
E34I,103.71,106.29,77.5,82.49,I34,下圍偏鬆、罩杯偏大 .全罩杯,塑瘦內衣
E36A,87.99,90.57,82.5,87.49,A36,下圍偏鬆、罩杯偏大 .全罩杯,養脂內衣
E36B,90.58,93.16,82.5,87.49,B36,下圍偏鬆、罩杯偏大 .全罩杯,養脂內衣
E36C,93.17,95.75,82.5,87.49,C36,下圍偏鬆、罩杯偏大 .全罩杯,養脂內衣
E36D,95.76,98.34,82.5,87.49,D36,下圍偏鬆、罩杯偏大 .全罩杯,養脂內衣
E36E,98.35,100.93,82.5,87.49,E36,下圍偏鬆、罩杯偏大 .全罩杯,養脂內衣
E36F,100.94,103.52,82.5,87.49,F36,下圍偏鬆、罩杯偏大 .全罩杯,塑瘦內衣
E36G,103.53,106.11,82.5,87.49,G36,下圍偏鬆、罩杯偏大 .全罩杯,塑瘦內衣
E36H,106.12,108.7,82.5,87.49,H36,下圍偏鬆、罩杯偏大 .全罩杯,塑瘦內衣
E36I,108.71,111.29,82.5,87.49,I36,下圍偏鬆、罩杯偏大 .全罩杯,塑瘦內衣
E38A,92.99,95.57,87.5,92.49,A38,下圍偏鬆、罩杯偏大 .全罩杯,養脂內衣
E38B,95.58,98.16,87.5,92.49,B38,下圍偏鬆、罩杯偏大 .全罩杯,養脂內衣
E38C,98.17,100.75,87.5,92.49,C38,下圍偏鬆、罩杯偏大 .全罩杯,養脂內衣
E38D,100.76,103.34,87.5,92.49,D38,下圍偏鬆、罩杯偏大 .全罩杯,養脂內衣
E38E,103.35,105.93,87.5,92.49,E38,下圍偏鬆、罩杯偏大 .全罩杯,養脂內衣
E38F,105.94,108.52,87.5,92.49,F38,下圍偏鬆、罩杯偏大 .全罩杯,塑瘦內衣
E38G,108.53,111.11,87.5,92.49,G38,下圍偏鬆、罩杯偏大 .全罩杯,塑瘦內衣
E38H,111.12,113.7,87.5,92.49,H38,下圍偏鬆、罩杯偏大 .全罩杯,塑瘦內衣
E38I,113.71,116.29,87.5,92.49,I38,下圍偏鬆、罩杯偏大 .全罩杯,塑瘦內衣
E40A,97.99,100.57,92.5,97.49,A40,下圍偏鬆、罩杯偏大 .全罩杯,養脂內衣
E40B,100.58,103.16,92.5,97.49,B40,下圍偏鬆、罩杯偏大 .全罩杯,養脂內衣
E40C,103.17,105.75,92.5,97.49,C40,下圍偏鬆、罩杯偏大 .全罩杯,養脂內衣
E40D,105.76,108.34,92.5,97.49,D40,下圍偏鬆、罩杯偏大 .全罩杯,養脂內衣
E40E,108.35,110.93,92.5,97.49,E40,下圍偏鬆、罩杯偏大 .全罩杯,養脂內衣
E40F,110.94,113.52,92.5,97.49,F40,下圍偏鬆、罩杯偏大 .全罩杯,塑瘦內衣
E40G,113.53,116.11,92.5,97.49,G40,下圍偏鬆、罩杯偏大 .全罩杯,塑瘦內衣
E40H,116.12,118.7,92.5,97.49,H40,下圍偏鬆、罩杯偏大 .全罩杯,塑瘦內衣
E40I,118.71,121.29,92.5,97.49,I40,下圍偏鬆、罩杯偏大 .全罩杯,塑瘦內衣
E42B,105.49,108.07,97.5,102.49,B42,下圍偏鬆、罩杯偏大 .全罩杯,養脂內衣
E42C,108.08,110.66,97.5,102.49,C42,下圍偏鬆、罩杯偏大 .全罩杯,養脂內衣
E42D,110.67,113.25,97.5,102.49,D42,下圍偏鬆、罩杯偏大 .全罩杯,養脂內衣
E42E,113.26,115.84,97.5,102.49,E42,下圍偏鬆、罩杯偏大 .全罩杯,養脂內衣
E42F,115.85,118.43,97.5,102.49,F42,下圍偏鬆、罩杯偏大 .全罩杯,塑瘦內衣
E42G,118.44,121.02,97.5,102.49,G42,下圍偏鬆、罩杯偏大 .全罩杯,塑瘦內衣
E42H,121.03,123.61,97.5,102.49,H42,下圍偏鬆、罩杯偏大 .全罩杯,塑瘦內衣
E42I,123.62,126.2,97.5,102.49,I42,下圍偏鬆、罩杯偏大 .全罩杯,塑瘦內衣
E44C,112.99,115.57,102.5,107.49,C44,下圍偏鬆、罩杯偏大 .全罩杯,養脂內衣
E44D,115.58,118.16,102.5,107.49,D44,下圍偏鬆、罩杯偏大 .全罩杯,養脂內衣
E44E,118.17,120.75,102.5,107.49,E44,下圍偏鬆、罩杯偏大 .全罩杯,養脂內衣
E44F,120.76,123.34,102.5,107.49,F44,下圍偏鬆、罩杯偏大 .全罩杯,塑瘦內衣
E44G,123.35,125.93,102.5,107.49,G44,下圍偏鬆、罩杯偏大 .全罩杯,塑瘦內衣
E44H,125.94,128.52,102.5,107.49,H44,下圍偏鬆、罩杯偏大 .全罩杯,塑瘦內衣
E44I,128.53,131.11,102.5,107.49,I44,下圍偏鬆、罩杯偏大 .全罩杯,塑瘦內衣
E46C,117.99,120.57,107.5,112.49,C46,下圍偏鬆、罩杯偏大 .全罩杯,養脂內衣
E46D,120.58,123.16,107.5,112.49,D46,下圍偏鬆、罩杯偏大 .全罩杯,養脂內衣
E46E,123.17,125.75,107.5,112.49,E46,下圍偏鬆、罩杯偏大 .全罩杯,養脂內衣
E46F,125.76,128.34,107.5,112.49,F46,下圍偏鬆、罩杯偏大 .全罩杯,塑瘦內衣
E46G,128.35,130.93,107.5,112.49,G46,下圍偏鬆、罩杯偏大 .全罩杯,塑瘦內衣
E46H,130.94,133.52,107.5,112.49,H46,下圍偏鬆、罩杯偏大 .全罩杯,塑瘦內衣
E46I,133.53,136.11,107.5,112.49,I46,下圍偏鬆、罩杯偏大 .全罩杯,塑瘦內衣
E48E,127.99,130.57,112.5,117.49,E48,下圍偏鬆、罩杯偏大 .全罩杯,養脂內衣
E48F,130.58,133.16,112.5,117.49,F48,下圍偏鬆、罩杯偏大 .全罩杯,塑瘦內衣
E48G,133.17,135.75,112.5,117.49,G48,下圍偏鬆、罩杯偏大 .全罩杯,塑瘦內衣
E48H,135.76,138.34,112.5,117.49,H48,下圍偏鬆、罩杯偏大 .全罩杯,塑瘦內衣
E48I,138.35,140.93,112.5,117.49,I48,下圍偏鬆、罩杯偏大 .全罩杯,塑瘦內衣
D30A,70.49,73.07,67.5,72.49,A30,"下圍偏鬆,罩杯正常",養脂內衣
D30B,73.08,75.66,67.5,72.49,B30,"下圍偏鬆,罩杯正常",養脂內衣
D30C,75.67,78.25,67.5,72.49,C30,"下圍偏鬆,罩杯正常",養脂內衣
D30D,78.26,80.84,67.5,72.49,D30,"下圍偏鬆,罩杯正常",養脂內衣
D30E,80.85,83.43,67.5,72.49,E30,"下圍偏鬆,罩杯正常",養脂內衣
D30F,83.44,86.02,67.5,72.49,F30,"下圍偏鬆,罩杯正常",塑瘦內衣
D30G,86.03,88.61,67.5,72.49,G30,"下圍偏鬆,罩杯正常",塑瘦內衣
D30H,88.62,91.2,67.5,72.49,H30,"下圍偏鬆,罩杯正常",塑瘦內衣
D30I,91.21,93.79,67.5,72.49,I30,"下圍偏鬆,罩杯正常",塑瘦內衣
D32A,75.49,78.07,72.5,77.49,A32,"下圍偏鬆,罩杯正常",養脂內衣
D32B,78.08,80.66,72.5,77.49,B32,"下圍偏鬆,罩杯正常",養脂內衣
D32C,80.67,83.25,72.5,77.49,C32,"下圍偏鬆,罩杯正常",養脂內衣
D32D,83.26,85.84,72.5,77.49,D32,"下圍偏鬆,罩杯正常",養脂內衣
D32E,85.85,88.43,72.5,77.49,E32,"下圍偏鬆,罩杯正常",養脂內衣
D32F,88.44,91.02,72.5,77.49,F32,"下圍偏鬆,罩杯正常",塑瘦內衣
D32G,91.03,93.61,72.5,77.49,G32,"下圍偏鬆,罩杯正常",塑瘦內衣
D32H,93.62,96.2,72.5,77.49,H32,"下圍偏鬆,罩杯正常",塑瘦內衣
D32I,96.21,98.79,72.5,77.49,I32,"下圍偏鬆,罩杯正常",塑瘦內衣
D34A,80.49,83.07,77.5,82.49,A34,"下圍偏鬆,罩杯正常",養脂內衣
D34B,83.08,85.66,77.5,82.49,B34,"下圍偏鬆,罩杯正常",養脂內衣
D34C,85.67,88.25,77.5,82.49,C34,"下圍偏鬆,罩杯正常",養脂內衣
D34D,88.26,90.84,77.5,82.49,D34,"下圍偏鬆,罩杯正常",養脂內衣
D34E,90.85,93.43,77.5,82.49,E34,"下圍偏鬆,罩杯正常",養脂內衣
D34F,93.44,96.02,77.5,82.49,F34,"下圍偏鬆,罩杯正常",塑瘦內衣
D34G,96.03,98.61,77.5,82.49,G34,"下圍偏鬆,罩杯正常",塑瘦內衣
D34H,98.62,101.2,77.5,82.49,H34,"下圍偏鬆,罩杯正常",塑瘦內衣
D34I,101.21,103.79,77.5,82.49,I34,"下圍偏鬆,罩杯正常",塑瘦內衣
D36A,85.49,88.07,82.5,87.49,A36,"下圍偏鬆,罩杯正常",養脂內衣
D36B,88.08,90.66,82.5,87.49,B36,"下圍偏鬆,罩杯正常",養脂內衣
D36C,90.67,93.25,82.5,87.49,C36,"下圍偏鬆,罩杯正常",養脂內衣
D36D,93.26,95.84,82.5,87.49,D36,"下圍偏鬆,罩杯正常",養脂內衣
D36E,95.85,98.43,82.5,87.49,E36,"下圍偏鬆,罩杯正常",養脂內衣
D36F,98.44,101.02,82.5,87.49,F36,"下圍偏鬆,罩杯正常",塑瘦內衣
D36G,101.03,103.61,82.5,87.49,G36,"下圍偏鬆,罩杯正常",塑瘦內衣
D36H,103.62,106.2,82.5,87.49,H36,"下圍偏鬆,罩杯正常",塑瘦內衣
D36I,106.21,108.79,82.5,87.49,I36,"下圍偏鬆,罩杯正常",塑瘦內衣
D38A,90.49,93.07,87.5,92.49,A38,"下圍偏鬆,罩杯正常",養脂內衣
D38B,93.08,95.66,87.5,92.49,B38,"下圍偏鬆,罩杯正常",養脂內衣
D38C,95.67,98.25,87.5,92.49,C38,"下圍偏鬆,罩杯正常",養脂內衣
D38D,98.26,100.84,87.5,92.49,D38,"下圍偏鬆,罩杯正常",養脂內衣
D38E,100.85,103.43,87.5,92.49,E38,"下圍偏鬆,罩杯正常",養脂內衣
D38F,103.44,106.02,87.5,92.49,F38,"下圍偏鬆,罩杯正常",塑瘦內衣
D38G,106.03,108.61,87.5,92.49,G38,"下圍偏鬆,罩杯正常",塑瘦內衣
D38H,108.62,111.2,87.5,92.49,H38,"下圍偏鬆,罩杯正常",塑瘦內衣
D38I,111.21,113.79,87.5,92.49,I38,"下圍偏鬆,罩杯正常",塑瘦內衣
D40A,95.49,98.07,92.5,97.49,A40,"下圍偏鬆,罩杯正常",養脂內衣
D40B,98.08,100.66,92.5,97.49,B40,"下圍偏鬆,罩杯正常",養脂內衣
D40C,100.67,103.25,92.5,97.49,C40,"下圍偏鬆,罩杯正常",養脂內衣
D40D,103.26,105.84,92.5,97.49,D40,"下圍偏鬆,罩杯正常",養脂內衣
D40E,105.85,108.43,92.5,97.49,E40,"下圍偏鬆,罩杯正常",養脂內衣
D40F,108.44,111.02,92.5,97.49,F40,"下圍偏鬆,罩杯正常",塑瘦內衣
D40G,111.03,113.61,92.5,97.49,G40,"下圍偏鬆,罩杯正常",塑瘦內衣
D40H,113.62,116.2,92.5,97.49,H40,"下圍偏鬆,罩杯正常",塑瘦內衣
D40I,116.21,118.79,92.5,97.49,I40,"下圍偏鬆,罩杯正常",塑瘦內衣
D42B,102.99,105.57,97.5,102.49,B42,"下圍偏鬆,罩杯正常",養脂內衣
D42C,105.58,108.16,97.5,102.49,C42,"下圍偏鬆,罩杯正常",養脂內衣
D42D,108.17,110.75,97.5,102.49,D42,"下圍偏鬆,罩杯正常",養脂內衣
D42E,110.76,113.34,97.5,102.49,E42,"下圍偏鬆,罩杯正常",養脂內衣
D42F,113.35,115.93,97.5,102.49,F42,"下圍偏鬆,罩杯正常",塑瘦內衣
D42G,115.94,118.52,97.5,102.49,G42,"下圍偏鬆,罩杯正常",塑瘦內衣
D42H,118.53,121.11,97.5,102.49,H42,"下圍偏鬆,罩杯正常",塑瘦內衣
D42I,121.12,123.7,97.5,102.49,I42,"下圍偏鬆,罩杯正常",塑瘦內衣
D44C,110.49,113.07,102.5,107.49,C44,"下圍偏鬆,罩杯正常",養脂內衣
D44D,113.08,115.66,102.5,107.49,D44,"下圍偏鬆,罩杯正常",養脂內衣
D44E,115.67,118.25,102.5,107.49,E44,"下圍偏鬆,罩杯正常",養脂內衣
D44F,118.26,120.84,102.5,107.49,F44,"下圍偏鬆,罩杯正常",塑瘦內衣
D44G,120.85,123.43,102.5,107.49,G44,"下圍偏鬆,罩杯正常",塑瘦內衣
D44H,123.44,126.02,102.5,107.49,H44,"下圍偏鬆,罩杯正常",塑瘦內衣
D44I,126.03,128.61,102.5,107.49,I44,"下圍偏鬆,罩杯正常",塑瘦內衣
D46C,115.49,118.07,107.5,112.49,C46,"下圍偏鬆,罩杯正常",養脂內衣
D46D,118.08,120.66,107.5,112.49,D46,"下圍偏鬆,罩杯正常",養脂內衣
D46E,120.67,123.25,107.5,112.49,E46,"下圍偏鬆,罩杯正常",養脂內衣
D46F,123.26,125.84,107.5,112.49,F46,"下圍偏鬆,罩杯正常",塑瘦內衣
D46G,125.85,128.43,107.5,112.49,G46,"下圍偏鬆,罩杯正常",塑瘦內衣
D46H,128.44,131.02,107.5,112.49,H46,"下圍偏鬆,罩杯正常",塑瘦內衣
D46I,131.03,133.61,107.5,112.49,I46,"下圍偏鬆,罩杯正常",塑瘦內衣
D48E,125.49,128.07,112.5,117.49,E48,"下圍偏鬆,罩杯正常",養脂內衣
D48F,128.08,130.66,112.5,117.49,F48,"下圍偏鬆,罩杯正常",塑瘦內衣
D48G,130.67,133.25,112.5,117.49,G48,"下圍偏鬆,罩杯正常",塑瘦內衣
D48H,133.26,135.84,112.5,117.49,H48,"下圍偏鬆,罩杯正常",塑瘦內衣
D48I,135.85,138.43,112.5,117.49,I48,"下圍偏鬆,罩杯正常",塑瘦內衣
B30A,70.49,73.07,62.5,67.49,A30,"下圍正常,罩杯偏深",養脂內衣
B30B,73.08,75.66,62.5,67.49,B30,"下圍正常,罩杯偏深",養脂內衣
B30C,75.67,78.25,62.5,67.49,C30,"下圍正常,罩杯偏深",養脂內衣
B30D,78.26,80.84,62.5,67.49,D30,"下圍正常,罩杯偏深",養脂內衣
B30E,80.85,83.43,62.5,67.49,E30,"下圍正常,罩杯偏深",養脂內衣
B30F,83.44,86.02,62.5,67.49,F30,"下圍正常,罩杯偏深",塑瘦內衣
B30G,86.03,88.61,62.5,67.49,G30,"下圍正常,罩杯偏深",塑瘦內衣
B30H,88.62,91.2,62.5,67.49,H30,"下圍正常,罩杯偏深",塑瘦內衣
B30I,91.21,93.79,62.5,67.49,I30,"下圍正常,罩杯偏深",塑瘦內衣
B32A,75.49,78.07,67.5,72.49,A32,"下圍正常,罩杯偏深",養脂內衣
B32B,78.08,80.66,67.5,72.49,B32,"下圍正常,罩杯偏深",養脂內衣
B32C,80.67,83.25,67.5,72.49,C32,"下圍正常,罩杯偏深",養脂內衣
B32D,83.26,85.84,67.5,72.49,D32,"下圍正常,罩杯偏深",養脂內衣
B32E,85.85,88.43,67.5,72.49,E32,"下圍正常,罩杯偏深",養脂內衣
B32F,88.44,91.02,67.5,72.49,F32,"下圍正常,罩杯偏深",塑瘦內衣
B32G,91.03,93.61,67.5,72.49,G32,"下圍正常,罩杯偏深",塑瘦內衣
B32H,93.62,96.2,67.5,72.49,H32,"下圍正常,罩杯偏深",塑瘦內衣
B32I,96.21,98.79,67.5,72.49,I32,"下圍正常,罩杯偏深",塑瘦內衣
B34A,80.49,83.07,72.5,77.49,A34,"下圍正常,罩杯偏深",養脂內衣
B34B,83.08,85.66,72.5,77.49,B34,"下圍正常,罩杯偏深",養脂內衣
B34C,85.67,88.25,72.5,77.49,C34,"下圍正常,罩杯偏深",養脂內衣
B34D,88.26,90.84,72.5,77.49,D34,"下圍正常,罩杯偏深",養脂內衣
B34E,90.85,93.43,72.5,77.49,E34,"下圍正常,罩杯偏深",養脂內衣
B34F,93.44,96.02,72.5,77.49,F34,"下圍正常,罩杯偏深",塑瘦內衣
B34G,96.03,98.61,72.5,77.49,G34,"下圍正常,罩杯偏深",塑瘦內衣
B34H,98.62,101.2,72.5,77.49,H34,"下圍正常,罩杯偏深",塑瘦內衣
B34I,101.21,103.79,72.5,77.49,I34,"下圍正常,罩杯偏深",塑瘦內衣
B36A,85.49,88.07,77.5,82.49,A36,"下圍正常,罩杯偏深",養脂內衣
B36B,88.08,90.66,77.5,82.49,B36,"下圍正常,罩杯偏深",養脂內衣
B36C,90.67,93.25,77.5,82.49,C36,"下圍正常,罩杯偏深",養脂內衣
B36D,93.26,95.84,77.5,82.49,D36,"下圍正常,罩杯偏深",養脂內衣
B36E,95.85,98.43,77.5,82.49,E36,"下圍正常,罩杯偏深",養脂內衣
B36F,98.44,101.02,77.5,82.49,F36,"下圍正常,罩杯偏深",塑瘦內衣
B36G,101.03,103.61,77.5,82.49,G36,"下圍正常,罩杯偏深",塑瘦內衣
B36H,103.62,106.2,77.5,82.49,H36,"下圍正常,罩杯偏深",塑瘦內衣
B36I,106.21,108.79,77.5,82.49,I36,"下圍正常,罩杯偏深",塑瘦內衣
B38A,90.49,93.07,82.5,87.49,A38,"下圍正常,罩杯偏深",養脂內衣
B38B,93.08,95.66,82.5,87.49,B38,"下圍正常,罩杯偏深",養脂內衣
B38C,95.67,98.25,82.5,87.49,C38,"下圍正常,罩杯偏深",養脂內衣
B38D,98.26,100.84,82.5,87.49,D38,"下圍正常,罩杯偏深",養脂內衣
B38E,100.85,103.43,82.5,87.49,E38,"下圍正常,罩杯偏深",養脂內衣
B38F,103.44,106.02,82.5,87.49,F38,"下圍正常,罩杯偏深",塑瘦內衣
B38G,106.03,108.61,82.5,87.49,G38,"下圍正常,罩杯偏深",塑瘦內衣
B38H,108.62,111.2,82.5,87.49,H38,"下圍正常,罩杯偏深",塑瘦內衣
B38I,111.21,113.79,82.5,87.49,I38,"下圍正常,罩杯偏深",塑瘦內衣
B40A,95.49,98.07,87.5,92.49,A40,"下圍正常,罩杯偏深",養脂內衣
B40B,98.08,100.66,87.5,92.49,B40,"下圍正常,罩杯偏深",養脂內衣
B40C,100.67,103.25,87.5,92.49,C40,"下圍正常,罩杯偏深",養脂內衣
B40D,103.26,105.84,87.5,92.49,D40,"下圍正常,罩杯偏深",養脂內衣
B40E,105.85,108.43,87.5,92.49,E40,"下圍正常,罩杯偏深",養脂內衣
B40F,108.44,111.02,87.5,92.49,F40,"下圍正常,罩杯偏深",塑瘦內衣
B40G,111.03,113.61,87.5,92.49,G40,"下圍正常,罩杯偏深",塑瘦內衣
B40H,113.62,116.2,87.5,92.49,H40,"下圍正常,罩杯偏深",塑瘦內衣
B40I,116.21,118.79,87.5,92.49,I40,"下圍正常,罩杯偏深",塑瘦內衣
B42B,102.99,105.57,92.5,97.49,B42,"下圍正常,罩杯偏深",養脂內衣
B42C,105.58,108.16,92.5,97.49,C42,"下圍正常,罩杯偏深",養脂內衣
B42D,108.17,110.75,92.5,97.49,D42,"下圍正常,罩杯偏深",養脂內衣
B42E,110.76,113.34,92.5,97.49,E42,"下圍正常,罩杯偏深",養脂內衣
B42F,113.35,115.93,92.5,97.49,F42,"下圍正常,罩杯偏深",塑瘦內衣
B42G,115.94,118.52,92.5,97.49,G42,"下圍正常,罩杯偏深",塑瘦內衣
B42H,118.53,121.11,92.5,97.49,H42,"下圍正常,罩杯偏深",塑瘦內衣
B42I,121.12,123.7,92.5,97.49,I42,"下圍正常,罩杯偏深",塑瘦內衣
B44C,110.49,113.07,97.5,102.49,C44,"下圍正常,罩杯偏深",養脂內衣
B44D,113.08,115.66,97.5,102.49,D44,"下圍正常,罩杯偏深",養脂內衣
B44E,115.67,118.25,97.5,102.49,E44,"下圍正常,罩杯偏深",養脂內衣
B44F,118.26,120.84,97.5,102.49,F44,"下圍正常,罩杯偏深",塑瘦內衣
B44G,120.85,123.43,97.5,102.49,G44,"下圍正常,罩杯偏深",塑瘦內衣
B44H,123.44,126.02,97.5,102.49,H44,"下圍正常,罩杯偏深",塑瘦內衣
B44I,126.03,128.61,97.5,102.49,I44,"下圍正常,罩杯偏深",塑瘦內衣
B46C,115.49,118.07,102.5,107.49,C46,"下圍正常,罩杯偏深",養脂內衣
B46D,118.08,120.66,102.5,107.49,D46,"下圍正常,罩杯偏深",養脂內衣
B46E,120.67,123.25,102.5,107.49,E46,"下圍正常,罩杯偏深",養脂內衣
B46F,123.26,125.84,102.5,107.49,F46,"下圍正常,罩杯偏深",塑瘦內衣
B46G,125.85,128.43,102.5,107.49,G46,"下圍正常,罩杯偏深",塑瘦內衣
B46H,128.44,131.02,102.5,107.49,H46,"下圍正常,罩杯偏深",塑瘦內衣
B46I,131.03,133.61,102.5,107.49,I46,"下圍正常,罩杯偏深",塑瘦內衣
B48E,125.49,128.07,107.5,112.49,E48,"下圍正常,罩杯偏深",養脂內衣
B48F,128.08,130.66,107.5,112.49,F48,"下圍正常,罩杯偏深",塑瘦內衣
